name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY, United States",2019-07-01,29.1,18.9,24.4,28.3,18.9,24.2,12.8,49.99,0,,0,,0,0,27.7,16.6,267.3,1012.5,10.8,15.9,493.1,28.4,10,,2019-07-01T05:28:33,2019-07-01T20:31:04,0.99,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-02,29.7,22.2,26.3,30.9,22.2,26.6,16.3,54.6,0.38,,4.17,,0,0,31.7,13.4,252,1009.7,38,16,296.6,17.1,8,,2019-07-02T05:29:03,2019-07-02T20:30:55,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-03,29.3,24.5,26.8,30.5,24.5,27.5,19.3,63.77,0,,0,,0,0,,9.5,175.3,1010.6,50,16,238.6,13.7,7,,2019-07-03T05:29:34,2019-07-03T20:30:45,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-04,31.7,23.4,27.1,31.5,23.4,27.3,18.7,62.9,0,,0,,0,0,31.7,18.4,99.6,1017.3,16,13.9,475.9,27.4,9,,2019-07-04T05:30:07,2019-07-04T20:30:32,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-05,28.9,22.8,25.5,31.1,22.8,26.2,21.1,77.04,0,,0,,0,0,33.5,19.6,116.2,1019.9,72.1,14.5,440.6,25.4,8,,2019-07-05T05:30:42,2019-07-05T20:30:18,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-06,31.7,25.4,27.4,35.9,25.4,28.8,22.3,74.47,0.13,,4.17,,0,0,51.8,15.3,235.5,1013.2,51.1,15.4,291.9,16.8,7,,2019-07-06T05:31:18,2019-07-06T20:30:02,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-07,29.1,23,25.7,29.9,23,25.9,19.1,67.79,0,,0,,0,0,37.1,20.5,92,1012.1,39.1,16,421.7,24.3,9,,2019-07-07T05:31:55,2019-07-07T20:29:43,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-08,25.5,20.6,23,25.5,20.6,23,16.7,68.76,0.93,,20.83,,0,0,,12.9,88.5,1014.9,48.1,15.7,265.9,14.4,7,,2019-07-08T05:32:33,2019-07-08T20:29:23,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-09,31.1,21.2,26.3,30.3,21.2,26.1,16.1,56.87,0,,0,,0,0,31.7,14.2,229,1016.5,11,15.7,454,26.2,9,,2019-07-09T05:33:13,2019-07-09T20:29:00,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-10,31.5,23.6,27.6,32.1,23.6,28.2,18.2,57.3,0,,0,,0,0,33.5,12.6,263.8,1016.3,30.7,16,270.2,15.6,7,,2019-07-10T05:33:53,2019-07-10T20:28:36,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-11,29.9,23.2,25.6,31.9,23.2,25.9,19.7,71.9,17.06,,37.5,,0,0,38.9,24.9,183.8,1012.6,60.3,13.2,250.8,13.5,7,,2019-07-11T05:34:35,2019-07-11T20:28:09,0.36,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-12,30.3,22.6,26,31.1,22.6,26.3,19,68.26,0.29,,4.17,,0,0,44.6,25.2,299.7,1007.2,44.6,15.3,369.8,21.3,7,,2019-07-12T05:35:18,2019-07-12T20:27:41,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-13,30,21.8,26,30.6,21.8,26.4,17,58.5,0,,0,,0,0,35.3,18.2,265.9,1012.6,8.2,16,472.8,27.2,9,,2019-07-13T05:36:02,2019-07-13T20:27:10,0.44,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-14,31.7,24.5,28.2,31.7,24.5,28.2,15.7,47.82,0,,0,,0,0,42.5,21.5,290.8,1013.1,18.6,16,449.4,25.9,10,,2019-07-14T05:36:47,2019-07-14T20:26:38,0.47,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-15,30,20.7,26.1,29,20.7,25.9,13.5,46.81,0,,0,,0,0,33.5,20.2,252.9,1017,22.6,16,476.8,27.5,10,,2019-07-15T05:37:34,2019-07-15T20:26:03,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-16,32.8,22.5,28,33.7,22.5,28.5,16.7,51.02,0,,0,,0,0,35.3,20.7,194.5,1017,21.5,16,449.3,25.9,9,,2019-07-16T05:38:21,2019-07-16T20:25:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-17,33.7,23.3,29.3,39.4,23.3,32.1,21.6,64.49,31.01,,12.5,,0,0,73.8,15.4,221.5,1013.3,50.2,14.2,298.3,16.1,8,,2019-07-17T05:39:08,2019-07-17T20:24:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-18,25.9,22.4,23.9,25.9,22.4,23.9,22.2,90.41,9.77,,37.5,,0,0,31.7,19,87.6,1012.2,80.1,12.9,155.3,8.9,5,,2019-07-18T05:39:57,2019-07-18T20:24:09,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-19,33,21.8,27.5,38.5,21.8,30.2,22.1,73.99,0,,0,,0,0,38.9,24.1,173.8,1011.7,57.5,15.3,397.3,21.5,9,,2019-07-19T05:40:47,2019-07-19T20:23:27,0.53,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-20,35.3,28.1,31.9,40.1,31.3,36.1,22.6,58.95,0,,0,,0,0,41.8,17.9,268.8,1010,21.6,15.8,427.1,24.6,9,,2019-07-20T05:41:37,2019-07-20T20:22:43,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-21,35.7,28.4,31.8,41.3,31.3,36.1,22.6,58.88,0.07,,4.17,,0,0,35.3,25.9,273.9,1008.7,23.6,15.9,387,22.3,9,,2019-07-21T05:42:28,2019-07-21T20:21:58,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-22,31.3,23,27,35.2,23,28.7,21.6,73.43,39.26,,25,,0,0,35.3,17.2,182.5,1009,42,13.9,379.6,19.1,9,,2019-07-22T05:43:20,2019-07-22T20:21:10,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-23,23.8,19.6,21.9,23.8,19.6,21.9,18.8,83.45,12.24,,33.33,,0,0,29.5,17.5,143,1009.6,84.1,14.3,121.4,6.6,3,,2019-07-23T05:44:12,2019-07-23T20:20:21,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-24,28,20,23.8,28.1,20,23.8,16.4,66.13,0.44,,8.33,,0,0,37.1,14.1,30.5,1013.5,40.9,15.8,451.7,26,10,,2019-07-24T05:45:06,2019-07-24T20:19:30,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-25,29.3,21.9,25.1,28.3,21.9,25,14.7,54.08,0,,0,,0,0,29.5,12,150.5,1018.8,34,16,442.3,25.5,9,,2019-07-25T05:45:59,2019-07-25T20:18:37,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-26,29.7,21.4,25.8,29.3,21.4,25.7,15.4,54.18,0,,0,,0,0,,11.5,142,1023.6,19,16,441.3,25.4,9,,2019-07-26T05:46:53,2019-07-26T20:17:43,0.83,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-27,29,23.1,25.9,29.9,23.1,26.3,17.1,58.57,0,,0,,0,0,37.1,15.9,181.1,1023.5,22.1,16,403.3,23.2,9,,2019-07-27T05:47:48,2019-07-27T20:16:47,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-28,31.8,23.3,27.7,32.3,23.3,28.1,18,57.14,0,,0,,0,0,38.9,23.8,244.1,1018.7,17,16,439.3,25.3,9,,2019-07-28T05:48:43,2019-07-28T20:15:49,0.92,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-29,32.1,23,28.2,33.7,23,29.1,18.7,57.48,0.24,,8.33,,0,0,53.6,15.3,249,1015.4,26,16,391.6,22.6,9,,2019-07-29T05:49:39,2019-07-29T20:14:50,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-30,33.4,26.1,29.3,36.6,26.1,31.2,20.3,59.12,0.18,,4.17,,0,0,36.1,19.7,197.3,1015,17.5,15.5,334,19.2,9,,2019-07-30T05:50:35,2019-07-30T20:13:49,0.99,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
"New York, NY, United States",2019-07-31,30,21.9,25.7,32.2,21.9,26.4,19.8,70.93,11.1,,20.83,,0,0,61.2,17.3,189.5,1016.1,33.9,13.6,220.8,11.9,8,,2019-07-31T05:51:31,2019-07-31T20:12:46,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
